iter	Passed	Remaining
412	3333	12810
413	3340	12797
414	3347	12785
415	3354	12772
416	3361	12759
417	3368	12748
418	3374	12734
419	3382	12725
420	3389	12714
421	3397	12702
422	3403	12690
423	3411	12678
424	3418	12668
425	3425	12656
426	3433	12646
427	3439	12633
428	3446	12620
429	3452	12605
430	3458	12590
431	3465	12577
432	3471	12562
433	3477	12548
434	3484	12536
435	3490	12522
436	3497	12507
437	3502	12491
438	3510	12482
439	3516	12469
440	3525	12462
441	3532	12453
442	3540	12443
443	3547	12433
444	3554	12421
445	3560	12407
446	3567	12394
447	3573	12380
448	3580	12367
449	3586	12352
450	3592	12339
451	3599	12327
452	3606	12315
453	3613	12305
454	3620	12293
455	3627	12283
456	3634	12270
457	3640	12257
458	3646	12243
459	3653	12229
460	3659	12217
461	3665	12202
462	3672	12191
463	3679	12179
464	3685	12165
465	3691	12153
466	3698	12140
467	3705	12128
468	3711	12115
469	3717	12102
470	3724	12090
471	3730	12077
472	3737	12065
473	3743	12052
474	3749	12039
475	3756	12025
476	3762	12011
477	3768	11998
478	3774	11985
479	3781	11973
480	3787	11960
481	3794	11948
482	3799	11934
483	3806	11922
484	3812	11909
485	3819	11898
486	3825	11885
487	3832	11873
488	3839	11862
489	3845	11849
490	3851	11837
491	3857	11824
492	3863	11811
493	3872	11806
494	3878	11793
495	3885	11780
496	3891	11768
497	3897	11755
498	3904	11743
499	3910	11731
500	3917	11720
501	3923	11707
502	3930	11697
503	3937	11687
504	3944	11675
505	3953	11673
506	3961	11664
507	3970	11659
508	3976	11648
509	3983	11636
510	3989	11624
511	3995	11611
512	4000	11595
513	4006	11582
514	4012	11569
515	4018	11557
516	4024	11543
517	4030	11530
518	4036	11518
519	4043	11507
520	4049	11496
521	4056	11484
522	4062	11473
523	4068	11461
524	4074	11447
525	4081	11436
526	4087	11424
527	4093	11411
528	4099	11400
529	4106	11388
530	4112	11378
531	4118	11365
532	4125	11353
533	4131	11342
534	4138	11331
535	4144	11319
536	4150	11306
537	4156	11295
538	4163	11284
539	4169	11272
540	4175	11259
541	4181	11248
542	4187	11235
543	4193	11225
544	4200	11214
545	4206	11201
546	4212	11190
547	4219	11180
548	4225	11168
549	4232	11157
550	4239	11148
551	4245	11136
552	4251	11124
553	4257	11111
554	4263	11101
555	4269	11089
